configuration,strides,dilations,input_batch,input_width,input_height,input_channel,kernel_width,kernel_height,kernel_input_channels,kernel_output_channels,output_batch,output_width,output_height,output_channel,unroll_full,unroll_factor,actual_input_batch,actual_input_width,actual_input_height,actual_input_channel,actual_kernel_width,actual_kernel_height,actual_kernel_input_channels,actual_kernel_output_channels,actual_output_batch,actual_output_width,actual_output_height,actual_output_channel,number_of_tiles,simulation_cycles,total_power,area,runtime_in_s,gflops,gflops_per_watt,energy_consumed,flop_count
resnet18_unroll_conv2d_12_unroll_1_factor_16,1,1,1,16,16,256,3,3,256,256,1,14,14,256,1,16,1,16,16,32,3,3,32,1,1,14,14,1,2048.0,473722880.0,0.005,39284.0,4.737229,0.048807,9.7614,0.023686145,231211008
resnet18_unroll_conv2d_12_unroll_1_factor_0,1,1,1,16,16,256,3,3,256,256,1,14,14,256,1,0,1,16,16,32,3,3,32,1,1,14,14,1,2048.0,466497536.0,0.00742,63762.0,4.664975,0.049563,6.67965,0.0346141145,231211008
resnet18_unroll_conv2d_12_unroll_2_factor_0,1,1,1,16,16,256,3,3,256,256,1,14,14,256,2,0,1,16,16,32,3,3,32,1,1,14,14,1,2048.0,464089088.0,0.0212,154067.0,4.640891,0.04982,2.35,0.0983868892,231211008
resnet18_unroll_conv2d_12_unroll_3_factor_0,1,1,1,16,16,256,3,3,256,256,1,14,14,256,3,0,1,16,16,32,3,3,32,1,1,14,14,1,2048.0,353681408.0,0.0636,499910.0,3.536814,0.065373,1.027877,0.2249413704,231211008
resnet18_unroll_conv2d_13_unroll_0_factor_0,2,1,1,28,28,128,1,1,128,256,1,14,14,256,0,0,1,28,28,32,1,1,32,1,1,14,14,1,1024.0,26509312.0,0.00152,13878.0,0.265093,0.048455,31.878289,0.00040294136,12845056
resnet18_unroll_conv2d_13_unroll_1_factor_4,2,1,1,28,28,128,1,1,128,256,1,14,14,256,1,4,1,28,28,32,1,1,32,1,1,14,14,1,1024.0,19933184.0,0.00894,68556.0,0.199332,0.064441,7.208166,0.00178202808,12845056
resnet18_unroll_conv2d_13_unroll_1_factor_8,2,1,1,28,28,128,1,1,128,256,1,14,14,256,1,8,1,28,28,32,1,1,32,1,1,14,14,1,1024.0,19933184.0,0.00882,69156.0,0.199332,0.064441,7.306236,0.00175810824,12845056
resnet18_unroll_conv2d_13_unroll_1_factor_16,2,1,1,28,28,128,1,1,128,256,1,14,14,256,1,16,1,28,28,32,1,1,32,1,1,14,14,1,1024.0,19933184.0,0.00873,68057.0,0.199332,0.064441,7.381558,0.00174016836,12845056
resnet18_unroll_conv2d_13_unroll_1_factor_0,2,1,1,28,28,128,1,1,128,256,1,14,14,256,1,0,1,28,28,32,1,1,32,1,1,14,14,1,1024.0,19933184.0,0.00887,68267.0,0.199332,0.064441,7.265051,0.00176807484,12845056
resnet18_unroll_conv2d_13_unroll_2_factor_0,2,1,1,28,28,128,1,1,128,256,1,14,14,256,2,0,1,28,28,32,1,1,32,1,1,14,14,1,1024.0,19933184.0,0.00896,68684.0,0.199332,0.064441,7.192076,0.00178601472,12845056
