configuration,strides,dilations,input_batch,input_width,input_height,input_channel,kernel_width,kernel_height,kernel_input_channels,kernel_output_channels,output_batch,output_width,output_height,output_channel,permuation_order_1,permuation_order_2,permuation_order_3,permuation_order_4,permuation_order_5,permuation_order_6,permuation_order_7,actual_input_batch,actual_input_width,actual_input_height,actual_input_channel,actual_kernel_width,actual_kernel_height,actual_kernel_input_channels,actual_kernel_output_channels,actual_output_batch,actual_output_width,actual_output_height,actual_output_channel,number_of_tiles,simulation_cycles,total_power,area,runtime_in_s,gflops,gflops_per_watt,energy_consumed,flop_count
resnet18_permute_conv2d_4_0123546,1,1,1,58,58,64,3,3,64,64,1,56,56,64,0,1,2,3,5,4,6,1,58,58,8,3,3,8,1,1,56,56,1,512.0,511205888.0,0.011,97392.0,5.112059,0.045229,4.111727,0.056232649,231211008
resnet18_permute_conv2d_4_0123564,1,1,1,58,58,64,3,3,64,64,1,56,56,64,0,1,2,3,6,4,5,1,58,58,8,3,3,8,1,1,56,56,1,512.0,394032640.0,0.0218,171259.0,3.940326,0.058678,2.691651,0.0858991068,231211008
resnet18_permute_conv2d_4_0123645,1,1,1,58,58,64,3,3,64,64,1,56,56,64,0,1,2,3,5,6,4,1,58,58,8,3,3,8,1,1,56,56,1,512.0,511205888.0,0.00973,87661.0,5.112059,0.045229,4.648407,0.04974033407,231211008
resnet18_permute_conv2d_4_0123654,1,1,1,58,58,64,3,3,64,64,1,56,56,64,0,1,2,3,6,5,4,1,58,58,8,3,3,8,1,1,56,56,1,512.0,511205888.0,0.00992,88242.0,5.112059,0.045229,4.559375,0.05071162528,231211008
resnet18_permute_conv2d_5_0123456,1,1,1,58,58,64,3,3,64,64,1,56,56,64,0,1,2,3,4,5,6,1,58,58,8,3,3,8,1,1,56,56,1,512.0,511206912.0,0.0123,98527.0,5.112069,0.045228,3.677073,0.0628784487,231211008
resnet18_permute_conv2d_5_0123465,1,1,1,58,58,64,3,3,64,64,1,56,56,64,0,1,2,3,4,6,5,1,58,58,8,3,3,8,1,1,56,56,1,512.0,394032640.0,0.0225,171300.0,3.940326,0.058678,2.607911,0.088657335,231211008
resnet18_permute_conv2d_5_0123546,1,1,1,58,58,64,3,3,64,64,1,56,56,64,0,1,2,3,5,4,6,1,58,58,8,3,3,8,1,1,56,56,1,512.0,511205888.0,0.0111,97557.0,5.112059,0.045229,4.074685,0.0567438549,231211008
resnet18_permute_conv2d_5_0123564,1,1,1,58,58,64,3,3,64,64,1,56,56,64,0,1,2,3,6,4,5,1,58,58,8,3,3,8,1,1,56,56,1,512.0,394032640.0,0.0221,169366.0,3.940326,0.058678,2.655113,0.0870812046,231211008
resnet18_permute_conv2d_5_0123645,1,1,1,58,58,64,3,3,64,64,1,56,56,64,0,1,2,3,5,6,4,1,58,58,8,3,3,8,1,1,56,56,1,512.0,511205888.0,0.00977,86944.0,5.112059,0.045229,4.629376,0.04994481643,231211008
resnet18_permute_conv2d_5_0123654,1,1,1,58,58,64,3,3,64,64,1,56,56,64,0,1,2,3,6,5,4,1,58,58,8,3,3,8,1,1,56,56,1,512.0,511205888.0,0.00991,88173.0,5.112059,0.045229,4.563976,0.05066050469,231211008
resnet18_permute_conv2d_6_0123456,2,1,1,57,57,64,3,3,64,128,1,28,28,128,0,1,2,3,4,5,6,1,57,57,8,3,3,8,1,1,28,28,1,1024.0,294531072.0,0.0149,129050.0,2.945311,0.039251,2.634295,0.0438851339,115605504
