configuration,input_batch,input_width,input_height,weight_batch,weight_width,weight_height,output_batch,output_width,output_height,tiled_output_batch,tiled_output_width,tiled_output_height,tiled_kernel_width,actual_input_batch,actual_input_width,actual_input_height,actual_weight_batch,actual_weight_width,actual_weight_height,actual_output_batch,actual_output_width,actual_output_height,number_of_tiles,simulation_cycles,total_power,area,runtime_in_s,gflops,gflops_per_watt,energy_consumed,flop_count
alexnet_tile_matmul_3_114128,1,1,4096,1,4096,1000,1,1,1000,1,1,4,128,1,1,128,1,128,125,1,1,125,256.0,34527488.0,0.00471,37766.0,0.345275,0.023726,5.037367,0.00162624525,8192000
alexnet_tile_matmul_3_1184,1,1,4096,1,4096,1000,1,1,1000,1,1,8,4,1,1,128,1,128,125,1,1,125,256.0,34318336.0,0.00605,51444.0,0.343183,0.023871,3.94562,0.00207625715,8192000
alexnet_tile_matmul_3_1188,1,1,4096,1,4096,1000,1,1,1000,1,1,8,8,1,1,128,1,128,125,1,1,125,256.0,32585728.0,0.00731,62074.0,0.325857,0.02514,3.439124,0.00238201467,8192000
alexnet_tile_matmul_3_11816,1,1,4096,1,4096,1000,1,1,1000,1,1,8,16,1,1,128,1,128,125,1,1,125,256.0,31719424.0,0.00979,84101.0,0.317194,0.025826,2.637998,0.00310532926,8192000
alexnet_tile_matmul_3_11832,1,1,4096,1,4096,1000,1,1,1000,1,1,8,32,1,1,128,1,128,125,1,1,125,256.0,38999296.0,0.00639,56397.0,0.389993,0.021006,3.287324,0.00249205527,8192000
alexnet_tile_matmul_3_11864,1,1,4096,1,4096,1000,1,1,1000,1,1,8,64,1,1,128,1,128,125,1,1,125,256.0,34647296.0,0.00492,43478.0,0.346473,0.023644,4.805691,0.00170464716,8192000
alexnet_tile_matmul_3_118128,1,1,4096,1,4096,1000,1,1,1000,1,1,8,128,1,1,128,1,128,125,1,1,125,256.0,34519296.0,0.0049,37701.0,0.345193,0.023732,4.843265,0.0016914457,8192000
alexnet_tile_matmul_3_11164,1,1,4096,1,4096,1000,1,1,1000,1,1,16,4,1,1,128,1,128,125,1,1,125,256.0,33855488.0,0.0059,50978.0,0.338555,0.024197,4.101186,0.0019974745,8192000
alexnet_tile_matmul_3_11168,1,1,4096,1,4096,1000,1,1,1000,1,1,16,8,1,1,128,1,128,125,1,1,125,256.0,32221184.0,0.00728,62050.0,0.322212,0.025424,3.492308,0.00234570336,8192000
alexnet_tile_matmul_3_111616,1,1,4096,1,4096,1000,1,1,1000,1,1,16,16,1,1,128,1,128,125,1,1,125,256.0,31404032.0,0.00992,84888.0,0.31404,0.026086,2.629637,0.0031152768,8192000
alexnet_tile_matmul_3_111632,1,1,4096,1,4096,1000,1,1,1000,1,1,16,32,1,1,128,1,128,125,1,1,125,256.0,38995200.0,0.0063,55879.0,0.389952,0.021008,3.334603,0.0024566976,8192000
alexnet_tile_matmul_3_111664,1,1,4096,1,4096,1000,1,1,1000,1,1,16,64,1,1,128,1,128,125,1,1,125,256.0,34643200.0,0.00485,42960.0,0.346432,0.023647,4.87567,0.0016801952,8192000
alexnet_tile_matmul_3_1116128,1,1,4096,1,4096,1000,1,1,1000,1,1,16,128,1,1,128,1,128,125,1,1,125,256.0,34515200.0,0.00472,37971.0,0.345152,0.023734,5.02839,0.00162911744,8192000
alexnet_tile_matmul_3_11324,1,1,4096,1,4096,1000,1,1,1000,1,1,32,4,1,1,128,1,128,125,1,1,125,256.0,33624064.0,0.00578,50911.0,0.336241,0.024363,4.215052,0.00194347298,8192000
alexnet_tile_matmul_3_11328,1,1,4096,1,4096,1000,1,1,1000,1,1,32,8,1,1,128,1,128,125,1,1,125,256.0,32038912.0,0.0073,61808.0,0.320389,0.025569,3.502603,0.0023388397,8192000
alexnet_tile_matmul_3_113216,1,1,4096,1,4096,1000,1,1,1000,1,1,32,16,1,1,128,1,128,125,1,1,125,256.0,31246336.0,0.00983,84589.0,0.312463,0.026218,2.667141,0.00307151129,8192000
alexnet_tile_matmul_3_113232,1,1,4096,1,4096,1000,1,1,1000,1,1,32,32,1,1,128,1,128,125,1,1,125,256.0,38993152.0,0.0063,55953.0,0.389932,0.021009,3.334762,0.0024565716,8192000
alexnet_tile_matmul_3_113264,1,1,4096,1,4096,1000,1,1,1000,1,1,32,64,1,1,128,1,128,125,1,1,125,256.0,34641152.0,0.00483,43250.0,0.346412,0.023648,4.896066,0.00167316996,8192000
alexnet_tile_matmul_3_1132128,1,1,4096,1,4096,1000,1,1,1000,1,1,32,128,1,1,128,1,128,125,1,1,125,256.0,38607104.0,0.00602,53420.0,0.386071,0.021219,3.524751,0.00232414742,8192000
alexnet_tile_matmul_3_11644,1,1,4096,1,4096,1000,1,1,1000,1,1,64,4,1,1,128,1,128,125,1,1,125,256.0,33441024.0,0.00714,61071.0,0.33441,0.024497,3.430952,0.0023876874,8192000
alexnet_tile_matmul_3_11648,1,1,4096,1,4096,1000,1,1,1000,1,1,64,8,1,1,128,1,128,125,1,1,125,256.0,31938560.0,0.00985,81563.0,0.319386,0.025649,2.603959,0.0031459521,8192000
alexnet_tile_matmul_3_116416,1,1,4096,1,4096,1000,1,1,1000,1,1,64,16,1,1,128,1,128,125,1,1,125,256.0,31124736.0,0.0142,118464.0,0.311247,0.02632,1.853521,0.0044197074,8192000
alexnet_tile_matmul_3_116432,1,1,4096,1,4096,1000,1,1,1000,1,1,64,32,1,1,128,1,128,125,1,1,125,256.0,38991104.0,0.00879,75173.0,0.389911,0.02101,2.390216,0.00342731769,8192000
alexnet_tile_matmul_3_116464,1,1,4096,1,4096,1000,1,1,1000,1,1,64,64,1,1,128,1,128,125,1,1,125,256.0,38735104.0,0.00617,53447.0,0.387351,0.021149,3.427715,0.00238995567,8192000
alexnet_tile_matmul_3_1164128,1,1,4096,1,4096,1000,1,1,1000,1,1,64,128,1,1,128,1,128,125,1,1,125,256.0,34511104.0,0.00466,40701.0,0.345111,0.023737,5.093777,0.00160821726,8192000
alexnet_tile_matmul_3_111254,1,1,4096,1,4096,1000,1,1,1000,1,1,125,4,1,1,128,1,128,125,1,1,125,256.0,33441792.0,0.00579,49673.0,0.334418,0.024496,4.230743,0.00193628022,8192000
alexnet_tile_matmul_3_111258,1,1,4096,1,4096,1000,1,1,1000,1,1,125,8,1,1,128,1,128,125,1,1,125,256.0,31897600.0,0.00693,60164.0,0.318976,0.025682,3.705916,0.00221050368,8192000
alexnet_tile_matmul_3_1112516,1,1,4096,1,4096,1000,1,1,1000,1,1,125,16,1,1,128,1,128,125,1,1,125,256.0,31125504.0,0.00956,80886.0,0.311255,0.026319,2.753033,0.0029755978,8192000
alexnet_tile_matmul_3_1112532,1,1,4096,1,4096,1000,1,1,1000,1,1,125,32,1,1,128,1,128,125,1,1,125,256.0,38991104.0,0.00602,52877.0,0.389911,0.02101,3.490033,0.00234726422,8192000
alexnet_tile_matmul_3_1112564,1,1,4096,1,4096,1000,1,1,1000,1,1,125,64,1,1,128,1,128,125,1,1,125,256.0,34639104.0,0.00462,40808.0,0.346391,0.02365,5.119048,0.00160032642,8192000
