configuration,strides,dilation,input_batch,input_width,input_height,input_channel,kernel_width,kernel_height,kernel_input_channel,kernel_multiplier,output_batch,output_width,output_height,output_channel,output_multiplier,tiled_output_batch,tiled_output_width,tiled_output_height,tiled_input_channel,tiled_kernel_width,tiled_kernel_height,actual_input_batch,actual_input_width,actual_input_height,actual_input_channel,actual_kernel_width,actual_kernel_height,actual_kernel_input_channels,actual_output_batch,actual_output_width,actual_output_height,actual_output_channel,number_of_tiles,simulation_cycles,total_power,area,runtime_in_s,gflops,gflops_per_watt,energy_consumed,flop_count
mobilenetv3_small_tile_depthwise_conv2d_multiplier_5_1881633,1,1,1,18,18,240,5,5,240,1,1,14,14,240,1,1,8,8,16,3,3,1,18,18,30,5,5,30,1,14,14,30,8.0,6439352.0,0.00903,85293.0,0.064394,0.036525,4.04485,0.00058147782,2352000
mobilenetv3_small_tile_depthwise_conv2d_multiplier_5_1883033,1,1,1,18,18,240,5,5,240,1,1,14,14,240,1,1,8,8,30,3,3,1,18,18,30,5,5,30,1,14,14,30,8.0,6424888.0,0.00899,85449.0,0.064249,0.036608,4.07208,0.00057759851,2352000
mobilenetv3_small_tile_depthwise_conv2d_multiplier_5_188455,1,1,1,18,18,240,5,5,240,1,1,14,14,240,1,1,8,8,4,5,5,1,18,18,30,5,5,30,1,14,14,30,8.0,5605240.0,0.0147,123389.0,0.056052,0.041961,2.85449,0.0008239644,2352000
mobilenetv3_small_tile_depthwise_conv2d_multiplier_5_188855,1,1,1,18,18,240,5,5,240,1,1,14,14,240,1,1,8,8,8,5,5,1,18,18,30,5,5,30,1,14,14,30,8.0,5584504.0,0.0149,122941.0,0.055845,0.042117,2.826644,0.0008320905,2352000
mobilenetv3_small_tile_depthwise_conv2d_multiplier_5_1881655,1,1,1,18,18,240,5,5,240,1,1,14,14,240,1,1,8,8,16,5,5,1,18,18,30,5,5,30,1,14,14,30,8.0,5571000.0,0.0143,120537.0,0.05571,0.042219,2.952378,0.000796653,2352000
mobilenetv3_small_tile_depthwise_conv2d_multiplier_5_1883055,1,1,1,18,18,240,5,5,240,1,1,14,14,240,1,1,8,8,30,5,5,1,18,18,30,5,5,30,1,14,14,30,8.0,5567352.0,0.014,120616.0,0.055674,0.042246,3.017571,0.000779436,2352000
mobilenetv3_small_tile_depthwise_conv2d_multiplier_5_11414433,1,1,1,18,18,240,5,5,240,1,1,14,14,240,1,1,14,14,4,3,3,1,18,18,30,5,5,30,1,14,14,30,8.0,6564744.0,0.00941,88029.0,0.065647,0.035828,3.807439,0.00061773827,2352000
mobilenetv3_small_tile_depthwise_conv2d_multiplier_5_11414833,1,1,1,18,18,240,5,5,240,1,1,14,14,240,1,1,14,14,8,3,3,1,18,18,30,5,5,30,1,14,14,30,8.0,6487592.0,0.00941,88121.0,0.064876,0.036254,3.85271,0.00061048316,2352000
mobilenetv3_small_tile_depthwise_conv2d_multiplier_5_114141633,1,1,1,18,18,240,5,5,240,1,1,14,14,240,1,1,14,14,16,3,3,1,18,18,30,5,5,30,1,14,14,30,8.0,6423928.0,0.00899,85302.0,0.064239,0.036613,4.072636,0.00057750861,2352000
mobilenetv3_small_tile_depthwise_conv2d_multiplier_5_114143033,1,1,1,18,18,240,5,5,240,1,1,14,14,240,1,1,14,14,30,3,3,1,18,18,30,5,5,30,1,14,14,30,8.0,6417176.0,0.00946,84927.0,0.064172,0.036651,3.874313,0.00060706712,2352000
mobilenetv3_small_tile_depthwise_conv2d_multiplier_5_11414455,1,1,1,18,18,240,5,5,240,1,1,14,14,240,1,1,14,14,4,5,5,1,18,18,30,5,5,30,1,14,14,30,8.0,5602312.0,0.0142,122465.0,0.056023,0.041983,2.956549,0.0007955266,2352000
mobilenetv3_small_tile_depthwise_conv2d_multiplier_5_11414855,1,1,1,18,18,240,5,5,240,1,1,14,14,240,1,1,14,14,8,5,5,1,18,18,30,5,5,30,1,14,14,30,8.0,5583016.0,0.0143,121638.0,0.05583,0.042128,2.946014,0.000798369,2352000
mobilenetv3_small_tile_depthwise_conv2d_multiplier_5_114141655,1,1,1,18,18,240,5,5,240,1,1,14,14,240,1,1,14,14,16,5,5,1,18,18,30,5,5,30,1,14,14,30,8.0,5567096.0,0.0139,118801.0,0.055671,0.042248,3.039424,0.0007738269,2352000
mobilenetv3_small_tile_depthwise_conv2d_multiplier_6_000000,1,1,1,18,18,240,5,5,240,1,1,14,14,240,1,0,0,0,0,0,0,1,18,18,30,5,5,30,1,14,14,30,8.0,5565400.0,0.0145,121176.0,0.055654,0.042261,2.914552,0.000806983,2352000
mobilenetv3_small_tile_depthwise_conv2d_multiplier_6_144433,1,1,1,18,18,240,5,5,240,1,1,14,14,240,1,1,4,4,4,3,3,1,18,18,30,5,5,30,1,14,14,30,8.0,6594920.0,0.00989,92695.0,0.065949,0.035664,3.606067,0.00065223561,2352000
mobilenetv3_small_tile_depthwise_conv2d_multiplier_6_144833,1,1,1,18,18,240,5,5,240,1,1,14,14,240,1,1,4,4,8,3,3,1,18,18,30,5,5,30,1,14,14,30,8.0,6502760.0,0.00986,92654.0,0.065028,0.036169,3.668256,0.00064117608,2352000
mobilenetv3_small_tile_depthwise_conv2d_multiplier_6_1441633,1,1,1,18,18,240,5,5,240,1,1,14,14,240,1,1,4,4,16,3,3,1,18,18,30,5,5,30,1,14,14,30,8.0,6444136.0,0.00958,91548.0,0.064441,0.036499,3.809916,0.00061734478,2352000
mobilenetv3_small_tile_depthwise_conv2d_multiplier_6_1443033,1,1,1,18,18,240,5,5,240,1,1,14,14,240,1,1,4,4,30,3,3,1,18,18,30,5,5,30,1,14,14,30,8.0,6427240.0,0.00952,90022.0,0.064272,0.036594,3.843908,0.00061186944,2352000
