configuration,strides,dilation,input_batch,input_width,input_height,input_channel,kernel_width,kernel_height,kernel_input_channel,kernel_multiplier,output_batch,output_width,output_height,output_channel,output_multiplier,unroll_full,unroll_factor,actual_input_batch,actual_input_width,actual_input_height,actual_input_channel,actual_kernel_width,actual_kernel_height,actual_kernel_input_channels,actual_output_batch,actual_output_width,actual_output_height,actual_output_channel,number_of_tiles,simulation_cycles,total_power,area,runtime_in_s,gflops,gflops_per_watt,energy_consumed,flop_count
mobilenetv3_large_unroll_depthwise_conv2d_multiplier_4_unroll_3_factor_0,2,1,1,59,59,72,5,5,72,1,1,28,28,72,1,3,0,1,59,59,8,5,5,8,1,28,28,8,9.0,1875312.0,0.0476,386160.0,0.018753,0.150504,3.161849,0.0008926428,2822400
mobilenetv3_large_unroll_depthwise_conv2d_multiplier_5_unroll_0_factor_0,1,1,1,32,32,120,5,5,120,1,1,28,28,120,1,0,0,1,32,32,8,5,5,8,1,28,28,8,15.0,9714630.0,0.00772,68459.0,0.097146,0.048422,6.27228,0.00074996712,4704000
mobilenetv3_large_unroll_depthwise_conv2d_multiplier_5_unroll_1_factor_4,1,1,1,32,32,120,5,5,120,1,1,28,28,120,1,1,4,1,32,32,8,5,5,8,1,28,28,8,15.0,9714630.0,0.00707,65333.0,0.097146,0.048422,6.848939,0.00068682222,4704000
mobilenetv3_large_unroll_depthwise_conv2d_multiplier_5_unroll_1_factor_0,1,1,1,32,32,120,5,5,120,1,1,28,28,120,1,1,0,1,32,32,8,5,5,8,1,28,28,8,15.0,9714630.0,0.00703,66099.0,0.097146,0.048422,6.887909,0.00068293638,4704000
mobilenetv3_large_unroll_depthwise_conv2d_multiplier_5_unroll_2_factor_4,1,1,1,32,32,120,5,5,120,1,1,28,28,120,1,2,4,1,32,32,8,5,5,8,1,28,28,8,15.0,9714630.0,0.00737,67133.0,0.097146,0.048422,6.570149,0.00071596602,4704000
mobilenetv3_large_unroll_depthwise_conv2d_multiplier_5_unroll_2_factor_0,1,1,1,32,32,120,5,5,120,1,1,28,28,120,1,2,0,1,32,32,8,5,5,8,1,28,28,8,15.0,9714630.0,0.00753,67255.0,0.097146,0.048422,6.430544,0.00073150938,4704000
mobilenetv3_large_unroll_depthwise_conv2d_multiplier_5_unroll_3_factor_4,1,1,1,32,32,120,5,5,120,1,1,28,28,120,1,3,4,1,32,32,8,5,5,8,1,28,28,8,15.0,6045510.0,0.0184,162618.0,0.060455,0.07781,4.228804,0.001112372,4704000
mobilenetv3_large_unroll_depthwise_conv2d_multiplier_5_unroll_3_factor_0,1,1,1,32,32,120,5,5,120,1,1,28,28,120,1,3,0,1,32,32,8,5,5,8,1,28,28,8,15.0,3125520.0,0.0475,378087.0,0.031255,0.150504,3.168505,0.0014846125,4704000
mobilenetv3_large_unroll_depthwise_conv2d_multiplier_6_unroll_0_factor_0,1,1,1,32,32,120,5,5,120,1,1,28,28,120,1,0,0,1,32,32,8,5,5,8,1,28,28,8,15.0,9714630.0,0.00741,68849.0,0.097146,0.048422,6.534683,0.00071985186,4704000
mobilenetv3_large_unroll_depthwise_conv2d_multiplier_6_unroll_1_factor_4,1,1,1,32,32,120,5,5,120,1,1,28,28,120,1,1,4,1,32,32,8,5,5,8,1,28,28,8,15.0,9714630.0,0.00751,65874.0,0.097146,0.048422,6.44767,0.00072956646,4704000
mobilenetv3_large_unroll_depthwise_conv2d_multiplier_6_unroll_1_factor_0,1,1,1,32,32,120,5,5,120,1,1,28,28,120,1,1,0,1,32,32,8,5,5,8,1,28,28,8,15.0,9714630.0,0.0073,65381.0,0.097146,0.048422,6.633151,0.0007091658,4704000
mobilenetv3_large_unroll_depthwise_conv2d_multiplier_6_unroll_2_factor_4,1,1,1,32,32,120,5,5,120,1,1,28,28,120,1,2,4,1,32,32,8,5,5,8,1,28,28,8,15.0,9714630.0,0.00753,67337.0,0.097146,0.048422,6.430544,0.00073150938,4704000
mobilenetv3_large_unroll_depthwise_conv2d_multiplier_6_unroll_2_factor_0,1,1,1,32,32,120,5,5,120,1,1,28,28,120,1,2,0,1,32,32,8,5,5,8,1,28,28,8,15.0,9714630.0,0.0075,67210.0,0.097146,0.048422,6.456267,0.000728595,4704000
mobilenetv3_large_unroll_depthwise_conv2d_multiplier_6_unroll_3_factor_4,1,1,1,32,32,120,5,5,120,1,1,28,28,120,1,3,4,1,32,32,8,5,5,8,1,28,28,8,15.0,6045510.0,0.0185,164699.0,0.060455,0.07781,4.205946,0.0011184175,4704000
mobilenetv3_large_unroll_depthwise_conv2d_multiplier_6_unroll_3_factor_0,1,1,1,32,32,120,5,5,120,1,1,28,28,120,1,3,0,1,32,32,8,5,5,8,1,28,28,8,15.0,3125520.0,0.0475,375383.0,0.031255,0.150504,3.168505,0.0014846125,4704000
mobilenetv3_large_unroll_depthwise_conv2d_multiplier_7_unroll_0_factor_0,2,1,1,29,29,240,3,3,240,1,1,14,14,240,1,0,0,1,29,29,30,3,3,30,1,14,14,30,8.0,1836256.0,0.004,37999.0,0.018363,0.04611,11.5275,7.3452e-05,846720
mobilenetv3_large_unroll_depthwise_conv2d_multiplier_7_unroll_1_factor_0,2,1,1,29,29,240,3,3,240,1,1,14,14,240,1,1,0,1,29,29,30,3,3,30,1,14,14,30,8.0,1836256.0,0.00394,37870.0,0.018363,0.04611,11.703046,7.235022e-05,846720
mobilenetv3_large_unroll_depthwise_conv2d_multiplier_7_unroll_2_factor_0,2,1,1,29,29,240,3,3,240,1,1,14,14,240,1,2,0,1,29,29,30,3,3,30,1,14,14,30,8.0,1836256.0,0.00393,37890.0,0.018363,0.04611,11.732824,7.216659e-05,846720
mobilenetv3_large_unroll_depthwise_conv2d_multiplier_7_unroll_3_factor_4,2,1,1,29,29,240,3,3,240,1,1,14,14,240,1,3,4,1,29,29,30,3,3,30,1,14,14,30,8.0,1347184.0,0.0148,125611.0,0.013472,0.06285,4.246622,0.0001993856,846720
mobilenetv3_large_unroll_depthwise_conv2d_multiplier_7_unroll_3_factor_8,2,1,1,29,29,240,3,3,240,1,1,14,14,240,1,3,8,1,29,29,30,3,3,30,1,14,14,30,8.0,1441120.0,0.0202,170513.0,0.014411,0.058755,2.908663,0.0002911022,846720
mobilenetv3_large_unroll_depthwise_conv2d_multiplier_7_unroll_3_factor_16,2,1,1,29,29,240,3,3,240,1,1,14,14,240,1,3,16,1,29,29,30,3,3,30,1,14,14,30,8.0,1152080.0,0.0431,356051.0,0.011521,0.073494,1.705197,0.0004965551,846720
